Congress,Year,Party,Position
80,1947,Entire chamber,0.1
81,1949,Entire chamber,0.031
82,1951,Entire chamber,0.069
83,1953,Entire chamber,0.072
84,1955,Entire chamber,0.039
85,1957,Entire chamber,0.027
86,1959,Entire chamber,-0.062
87,1961,Entire chamber,-0.055
88,1963,Entire chamber,-0.098
89,1965,Entire chamber,-0.104
90,1967,Entire chamber,-0.099
91,1969,Entire chamber,-0.058
92,1971,Entire chamber,-0.041
93,1973,Entire chamber,-0.058
94,1975,Entire chamber,-0.083
95,1977,Entire chamber,-0.103
96,1979,Entire chamber,-0.075
97,1981,Entire chamber,0.021
98,1983,Entire chamber,0.021
99,1985,Entire chamber,0.015
100,1987,Entire chamber,-0.031
101,1989,Entire chamber,-0.033
102,1991,Entire chamber,-0.041
103,1993,Entire chamber,-0.041
104,1995,Entire chamber,0.029
105,1997,Entire chamber,0.051
106,1999,Entire chamber,0.051
107,2001,Entire chamber,0.028
108,2003,Entire chamber,0.036
109,2005,Entire chamber,0.074
110,2007,Entire chamber,0.053
111,2009,Entire chamber,-0.021
112,2011,Entire chamber,0.056
113,2013,Entire chamber,0.023
114,2015,Entire chamber,0.116
80,1947,Democrats,-0.041
81,1949,Democrats,-0.108
82,1951,Democrats,-0.078
83,1953,Democrats,-0.086
84,1955,Democrats,-0.147
85,1957,Democrats,-0.181
86,1959,Democrats,-0.229
87,1961,Democrats,-0.248
88,1963,Democrats,-0.27
89,1965,Democrats,-0.283
90,1967,Democrats,-0.289
91,1969,Democrats,-0.285
92,1971,Democrats,-0.278
93,1973,Democrats,-0.313
94,1975,Democrats,-0.305
95,1977,Democrats,-0.301
96,1979,Democrats,-0.297
97,1981,Democrats,-0.284
98,1983,Democrats,-0.288
99,1985,Democrats,-0.3
100,1987,Democrats,-0.307
101,1989,Democrats,-0.305
102,1991,Democrats,-0.313
103,1993,Democrats,-0.322
104,1995,Democrats,-0.333
105,1997,Democrats,-0.348
106,1999,Democrats,-0.336
107,2001,Democrats,-0.334
108,2003,Democrats,-0.331
109,2005,Democrats,-0.345
110,2007,Democrats,-0.337
111,2009,Democrats,-0.345
