Congress,Year,Party,Committee,Position
80,1947,All,Agriculture,0.188
81,1949,All,Agriculture,0.034
82,1951,All,Agriculture,0.092
83,1953,All,Agriculture,0.166
84,1955,All,Agriculture,0.077
85,1957,All,Agriculture,0.079
86,1959,All,Agriculture,0.03
87,1961,All,Agriculture,0.065
88,1963,All,Agriculture,0.049
89,1965,All,Agriculture,-0.002
90,1967,All,Agriculture,0.121
91,1969,All,Agriculture,0.102
92,1971,All,Agriculture,0.034
93,1973,All,Agriculture,0.033
94,1975,All,Agriculture,-0.085
95,1977,All,Agriculture,-0.065
96,1979,All,Agriculture,-0.04
97,1981,All,Agriculture,0.019
98,1983,All,Agriculture,0.008
99,1985,All,Agriculture,-0.002
100,1987,All,Agriculture,0.008
101,1989,All,Agriculture,0.02
102,1991,All,Agriculture,0.027
103,1993,All,Agriculture,0.052
104,1995,All,Agriculture,0.121
105,1997,All,Agriculture,0.155
106,1999,All,Agriculture,0.141
107,2001,All,Agriculture,0.165
108,2003,All,Agriculture,0.152
109,2005,All,Agriculture,0.177
110,2007,All,Agriculture,0.124
111,2009,All,Agriculture,0.112
112,2011,All,Agriculture,0.268
113,2013,All,Agriculture,0.249
80,1947,Democrats,Agriculture,-0.084
81,1949,Democrats,Agriculture,-0.123
82,1951,Democrats,Agriculture,-0.071
83,1953,Democrats,Agriculture,-0.031
84,1955,Democrats,Agriculture,-0.141
85,1957,Democrats,Agriculture,-0.14
86,1959,Democrats,Agriculture,-0.134
87,1961,Democrats,Agriculture,-0.124
88,1963,Democrats,Agriculture,-0.158
89,1965,Democrats,Agriculture,-0.161
90,1967,Democrats,Agriculture,-0.034
91,1969,Democrats,Agriculture,-0.06
92,1971,Democrats,Agriculture,-0.15
93,1973,Democrats,Agriculture,-0.19
94,1975,Democrats,Agriculture,-0.248
95,1977,Democrats,Agriculture,-0.228
96,1979,Democrats,Agriculture,-0.213
97,1981,Democrats,Agriculture,-0.211
98,1983,Democrats,Agriculture,-0.187
99,1985,Democrats,Agriculture,-0.211
100,1987,Democrats,Agriculture,-0.211
101,1989,Democrats,Agriculture,-0.196
102,1991,Democrats,Agriculture,-0.21
103,1993,Democrats,Agriculture,-0.237
104,1995,Democrats,Agriculture,-0.305
105,1997,Democrats,Agriculture,-0.251
106,1999,Democrats,Agriculture,-0.239
107,2001,Democrats,Agriculture,-0.257
108,2003,Democrats,Agriculture,-0.243
109,2005,Democrats,Agriculture,-0.215
110,2007,Democrats,Agriculture,-0.211
111,2009,Democrats,Agriculture,-0.195
112,2011,Democrats,Agriculture,-0.3
113,2013,Democrats,Agriculture,-0.287
80,1947,Republicans,Agriculture,0.375
81,1949,Republicans,Agriculture,0.301
82,1951,Republicans,Agriculture,0.304
83,1953,Republicans,Agriculture,0.338
84,1955,Republicans,Agriculture,0.352
85,1957,Republicans,Agriculture,0.357
86,1959,Republicans,Agriculture,0.315
87,1961,Republicans,Agriculture,0.348
88,1963,Republicans,Agriculture,0.361
89,1965,Republicans,Agriculture,0.345
90,1967,Republicans,Agriculture,0.327
91,1969,Republicans,Agriculture,0.297
92,1971,Republicans,Agriculture,0.323
93,1973,Republicans,Agriculture,0.311
94,1975,Republicans,Agriculture,0.267
95,1977,Republicans,Agriculture,0.26
96,1979,Republicans,Agriculture,0.271
97,1981,Republicans,Agriculture,0.309
98,1983,Republicans,Agriculture,0.333
99,1985,Republicans,Agriculture,0.318
100,1987,Republicans,Agriculture,0.343
101,1989,Republicans,Agriculture,0.362
102,1991,Republicans,Agriculture,0.403
103,1993,Republicans,Agriculture,0.438
104,1995,Republicans,Agriculture,0.468
105,1997,Republicans,Agriculture,0.471
106,1999,Republicans,Agriculture,0.464
107,2001,Republicans,Agriculture,0.462
108,2003,Republicans,Agriculture,0.473
109,2005,Republicans,Agriculture,0.522
110,2007,Republicans,Agriculture,0.543
111,2009,Republicans,Agriculture,0.59
112,2011,Republicans,Agriculture,0.683
113,2013,Republicans,Agriculture,0.7
80,1947,All,Appropriations,0.144
81,1949,All,Appropriations,0.019
